email;business_name;category;city;province;region;address;phone;website;contact_name;provenienza;origine;score;priority;source;source_url
ambvetguidotti@gmail.com;Ambulatorio Veterinario Guidotti;Veterinari;Bologna;BO;Emilia-Romagna;Via Alessandro Guidotti 40a, 40134;+39 3491007581;https://www.facebook.com/Ambulatorio-Veterinario-Guidotti-101227044772600;Lega del cane;automatica;email;82;A;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/4793750758
info@benessereanimalibologna.it;Benessere Animali Bologna;Pet shop;Bologna;BO;Emilia-Romagna;Via delle Lame 39f, 40122;;;;automatica;email;45;D;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/4793771252
studio.veterinario.bagnolo@gmail.com;Dr Revelli Fausto;Veterinari;Correggio;RE;Emilia-Romagna;;+39 0522693196;https://www.ambulatorioveterinariorevelli.it/;;automatica;email;68;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/11663790317
amafaenza@gmail.com;A.M.A. Faenza - Associazione Musetti Abbandonati;Rifugi per animali;Faenza;RA;Emilia-Romagna;Corso Mazzini, 52/5 - 48018;+39 3534516211;https://www.amafaenza.it/;;manuale;email;72;B;Sito ufficiale;https://www.amafaenza.it/
zenrico@yahoo.it;Ambulatorio Veterinario Zama;Ambulatori veterinari;Faenza;RA;Emilia-Romagna;Via Boito, 18 - 48018;+39 0546661197;https://www.ambulatoriozama.it/;Dr. Giuliano Zama (direttore sanitario);manuale;email;85;A;TuoVet;https://www.tuovet.it/scheda/ambulatorio-veterinario-zama/
faenza@enpa.org;ENPA Faenza - Ente Nazionale Protezione Animali;Associazioni animaliste;Faenza;RA;Emilia-Romagna;Via Laderchi, 3 - 48018;+39 0546661203;http://www.rifugiodelcanefaenza.org;;manuale;email;69;B;Rete civica R@cine (Provincia di Ravenna);https://www.racine.ra.it/Risorse/ODV-Organizzazioni-di-Volontariato/Tutela-e-promozione-dei-diritti/E.N.P.A.-Ente-Nazionale-Protezione-Animali-Faenza
info@ambulatorioveterinariosilver.it;Ambulatorio Veterinario Silver;Veterinari;Forlì;FC;Emilia-Romagna;Via Rubicone 2;+39 3893143308;https://www.ambulatorioveterinariosilver.it/;;automatica;email;83;A;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/4766464665
ambvet.schiavonia@gmail.com;Clinica Veterinaria Porta Schiavonia;Veterinari;Forlì;FC;Emilia-Romagna;Corso Giuseppe Garibaldi 304;+39 054326261;http://www.psvet.it/;;automatica;email;83;A;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/4766292040
sanfrancescovet@libero.it;Clinica Veterinaria San Francesco;Veterinari;Imola;BO;Emilia-Romagna;Via Massimo Villa 24b, 40026;+39 054241742;https://www.clinicaveterinariaimola.it/;;automatica;email;83;A;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/3053303340
alessandromarrani@hotmail.com;Petville - Albergo per cani e gatti;Pet hotel;Imola;BO;Emilia-Romagna;;+39 054295389, +39 3334733438;https://petville.it/;Alessandro Marrani;manuale;email;76;B;Sito ufficiale (pagina contatti verificata);https://petville.it/contatti/
veterinariovega@yahoo.it;Vega;Veterinari;Rimini;RN;Emilia-Romagna;Via Vega 63, 47923;+39 0541777709;;;automatica;email;62;C;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/2718198058
ambvet.scandiano@gmail.com;Ambulatorio Veterinario Cigarini Davoli Gherardi Montanari Poli;Veterinari;Scandiano;RE;Emilia-Romagna;Piazza Giovanni XXIII 4B, 42019;+39 0522855244;;;automatica;email;62;C;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/3519678182
info@rifugiodivillotta.org;Canile di Villotta di Chions;Canili;Chions;PN;Friuli-Venezia Giulia;Villotta (frazione di Chions);+39 0434630420;;;manuale;email;55;C;Doggami (mappa canili);https://doggami.it/mappa-canili/
info@clinicatimavo.com;Clinica Veterinaria Timavo;Veterinari;Monfalcone;GO;Friuli-Venezia Giulia;Via Timavo 74, 34074;+39 0481412390, 33388889909 (formato da verificare);https://www.clinicatimavo.com/;;automatica;email;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/3652804483
furiogherlanz@hotmail.it;Ambulatorio veterinario Gerlanz Furio;Veterinari;Trieste;TS;Friuli-Venezia Giulia;Campo Pietro Metastasio 3a, 34148;+39 040810834;https://www.gherlanzveterinario.com/;Gherlanz dott. Furio Medico Veterinario;automatica;email;82;A;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/9254287813
info@veterinariomurray.it;Ambulatorio veterinario Murray;Veterinari;Trieste;TS;Friuli-Venezia Giulia;Campo Pietro Metastasio 3a, 34148;+39 040813164;https://veterinariomurray.it/;Dottoressa medico Veterinario Cristina M. Murray;automatica;email;82;A;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/9254287816
nordest.vet@gmail.com;Ambulatorio Veterinario Nordest s.a.;Veterinari;Udine;UD;Friuli-Venezia Giulia;Via Bariglaria 269;+39 0432565212;;;automatica;email;62;C;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/11082027205
gianluca5577@hotmail.com;Il maialino verde;Rifugi per animali;Marino;RM;Lazio;;+39 3317058886;;;automatica;email;51;C;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/8850756856
vetbelisi@gmail.com;Ambulatorio veterinario Belli-Lisi;Veterinari;Monterotondo;RM;Lazio;Via San Martino 10, 00015;+39 0690622294;https://www.veterinari-bellilisi.it;;automatica;email;83;A;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/13619502085
ambulatorioassociato@gmail.com;"Ambulatorio Veterinario Associato ""Villa Lazzaroni""";Veterinari;Roma;RM;Lazio;Via Raffaele de Cesare 60, 00179;+39 067887143;;;automatica;email;62;C;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/2002702292
info@ambulatorioveterinariopineto.it;Ambulatorio Veterinario Associato Pineto;Veterinari;Roma;RM;Lazio;Via Vittorio Montiglio 25,27;+39 0689235429;https://www.ambulatorioveterinariopineto.it/;;automatica;email;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/8833503090
ambulatoriogattamelata@gmail.com;Ambulatorio Veterinario Gattamelata;Veterinari;Roma;RM;Lazio;Via Erasmo Gattamelata 120;+39 3472919336;https://www.veterinariopigneto.it;Alessia Lingesso;automatica;email;97;A+;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/13380799760
ambvet.ricciotti@gmail.com;Ambulatorio Veterinario Ricciotti;Veterinari;Roma;RM;Lazio;;+39 063214242;https://www.ambulatorioveterinarioricciotti.it/;;automatica;email;75;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/610303277
spieziavet@gmail.com;Ambulatorio veterinario Spiezia;Veterinari;Roma;RM;Lazio;Via Portuense 803, 00148;+39 066591366;https://www.veterinarioportuense.it/;Iolanda Lucia Spezia;automatica;email;82;A;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/11748892121
asta@associazioneasta.com;Asta Onlus;Veterinari;Roma;RM;Lazio;Via Sante Bargellini 18, 00156;+39 064506162;https://www.associazioneasta.com/;;automatica;email;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/7711341085
info@cvrs.it;CVRS Policlinico Veterinario Roma Sud;Veterinari;Roma;RM;Lazio;Via Pilade Mazza 24, 00173;+39 067236171;https://www.cvrs.it/;;automatica;email;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/7625648493
centroveterinariocecchignola@gmail.com;Centro Veterinario Cecchignola;Veterinari;Roma;RM;Lazio;Via Abigaille Zanetta 26, 00143;+39 0651958587;https://centroveterinariocecchignola.com/;;automatica;email;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/12953675888
info@centroveterinariostia.eu;Centro veterinario Ostia;Veterinari;Roma;RM;Lazio;Via Costanzo Casana 47, 00121;+39 065693742;http://www.centroveterinariostia.eu/;;automatica;email;91;A+;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/11394384784
info@veterinariaroma.it;Dott. Amerio Croce;Veterinari;Roma;RM;Lazio;Via Alghero 9, 00182;+39 0670301455, +39 3289386010;https://www.veterinariaroma.it/;;automatica;email;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/1544664323
fondazioneprelzonlus@yahoo.it;Rifugio Fondazione Prelz;Rifugi per animali;Roma;RM;Lazio;;+39 069041448;http://www.adottauncane.it;;manuale;email;58;C;Doggami (mappa canili);https://doggami.it/mappa-canili/
adozioni@associazione-alfa.org;ALFA - Associazione Love For Animals OdV;Associazioni animaliste;Tivoli;RM;Lazio;;+39 3296595516;https://associazione-alfa.org/;;manuale;email;61;C;Sito ufficiale + Comune di Tivoli + Doggami;https://associazione-alfa.org/tivoli-per-gli-animali-400-adozioni-in-soli-5-anni/
cleandog.tivoli@outlook.com;Clean Dog Tivoli;Toelettature;Tivoli;RM;Lazio;Via Due Giugno, 7/D - 00019;+39 3339485988;https://www.cleandogtivoli.com/;;manuale;email;74;B;Sito ufficiale;https://www.cleandogtivoli.com/en/about
dott.ssa.poggi@gmail.com;Dott.ssa Virginia Poggi - Veterinario a domicilio;Veterinari;Tivoli;RM;Lazio;Tivoli (servizio a domicilio: Roma, Guidonia, Castel Madama, Mentana, Vicovaro, Gallicano, Zagarolo, Palestrina, San Cesareo, Palombara Sabina, Marcellina);+39 3289083058;;Dott.ssa Virginia Poggi;manuale;email;71;B;VeterinarioVicinoAMe;https://veterinariovicinoame.it/ambulatorio/veterinario-a-domicilio-tivoli-poggi/
monika-85@hotmail.it;NBA - Negozio di Animali Tivoli / Aquarium2000;Negozi per animali;Tivoli;RM;Lazio;Viale Tomei, 91 - 00019;+39 0774688913;;Monika (per email pubblica);manuale;email;76;B;Facebook;https://www.facebook.com/p/Negozio-Di-Animali-Tivoli-Aquarium2000-100057279655066/
manuela.arnetoli@yahoo.com;Palla di Pelo;Pet shop;Tivoli;RM;Lazio;Via Palatina, 51 - 00019;+39 3355421234;https://www.palladipelo.it/;Manuela Arnetoli;manuale;email;84;A;Sito ufficiale;https://www.palladipelo.it/
info@clinicavetalbaro.it;Clinica veterinaria Albaro;Veterinari;Genova;GE;Liguria;Via Montallegro 26 rosso;+39 0103620532;https://www.clinicavetalbaro.it;;automatica;email;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/4682022248
info.clinicavetorobica@anicura.it;AniCura;Veterinari;Bergamo;BG;Lombardia;Via Zanica 62, 24126;+39035533191;https://www.anicura.it/cliniche/clinica-veterinaria-orobica/;AniCura Italy Holding s.r.l.;automatica;run-scarto;;;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/13072904316
zooagricolagamba@libero.it;ZooAgricola;Pet shop;Bergamo;BG;Lombardia;;+39 035271977;;Zoo-Agricola S.N.C.;automatica;email;55;C;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/7517726021
laura.muggiani@gmail.com;Dottoressa Muggiani;Veterinari;Bollate;MI;Lombardia;Via Sempione 84, 20016;+39 3201676560;https://www.ambulatorioveterinariopero.it/;;automatica;email;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/5385706563
ambulatoriocotti@gmail.com;Dr. Cotti Maura;Veterinari;Bollate;MI;Lombardia;;+39 023548210;https://www.veterinariomauracotti.it/;;automatica;email;68;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/9120556546
ilcondomicio@gmail.com;Il Condomicio;Pensioni per animali;Bollate;MI;Lombardia;Via Thomas Alva Edison 53a, 20026;+39 3248056013;http://www.ilcondomicio.it;;automatica;email;74;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/8586244183
info@paradisopiccoliamici.it;Paradiso Piccoli Amici;Pet shop;Bollate;MI;Lombardia;;;;;automatica;email;37;D;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/7900710690
ukkiapet@gmail.com;Ukkia;Pet shop;Bollate;MI;Lombardia;;+39 3249595599;;;automatica;email;57;C;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/8688123853
vitadacani@vitadacani.org;Vitadacani - Parcocanile di Arese;Rifugi per animali;Bollate;MI;Lombardia;;+39 3490581076;https://www.vitadacani.org/;Vitadacani ODV;automatica;email;64;C;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/way/967053397
info@sosveterinariobrescia.it;Centro Veterinario SOS;Veterinari;Brescia;BS;Lombardia;Via Guglielmo Oberdan 6v, 25128;+39 030305951;;;automatica;email;62;C;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/3240952283
centrovetcesa@virgilio.it;Centro veterinario cesanese;Veterinari;Cesano Maderno;MB;Lombardia;Via Don Luigi Viganò 58, 20811;+39 0362524361;https://www.centroveterinariocesanese.com/;Centro veterinario cesanese;automatica;email;82;A;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/13990126019
info@clinicaveterinaria24ore.com;Clinica veterinaria San Rocco;Veterinari;Como;CO;Lombardia;38, 22100;+39 031261433;https://www.clinicaveterinaria24ore.com/;;automatica;email;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/1981151703
senecagiovanni@gmail.com;Giovanni Raffaele Seneca;Veterinari;Como;CO;Lombardia;Via Monte Grappa 74, 22100;+39 031300230;http://www.giovanniseneca.eu/;;automatica;email;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/14135396392
contatti@lamicofedele.it;L'Amico Fedele Onlus - Associazione di volontariato;Associazioni animaliste;Cormano;MI;Lombardia;;;http://www.lamicofedele.it;;manuale;email;43;D;Doggami (mappa canili);https://doggami.it/mappa-canili/
lamicofedele@pec.it;L'Amico Fedele Onlus - Associazione di volontariato;Associazioni animaliste;Cormano;MI;Lombardia;;;http://www.lamicofedele.it;;manuale;pec-other;43;D;Doggami (mappa canili);https://doggami.it/mappa-canili/
info@clinicaveterinariasanmagno.com;Clinica Veterinaria San Magno;Veterinari;Legnano;MI;Lombardia;Via Venti Settembre 18a, 20025;+39 0331454343;https://www.clinicaveterinariasanmagno.com/;;automatica;email;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/5614910704
info@leoshop.it;Leoshop;Pet shop;Legnano;MI;Lombardia;Via Fratelli Bandiera 49, 20039;+39 3472632726;http://www.leoshop.it;;automatica;email;71;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/6057147302
masetti.vet@gmail.com;Masetti;Veterinari;Legnano;MI;Lombardia;;+39 0331455526;https://masettiveterinario.jimdo.com/;;automatica;email;68;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/3328485242
vetvalle@virgilio.it;Studio veterinario della Valle;Veterinari;Legnano;MI;Lombardia;Via Luigi Cadorna 6, 21057;+39 0331642420;https://www.centroveterinariodellavalle.com/;;automatica;email;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/1139930412
info@icanidellaquercia.it;Azienda Agricola La Quercia;Pensioni per animali;Limbiate;MB;Lombardia;Via Valcamonica 25/27, 20812;+39 0299480508;https://icanidellaquercia.it/;La quercia azienda agricola di Mara Guindani;automatica;email;87;A;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/9233124592
info@hobbyfauna.it;Hobby Fauna;Toelettature;Limbiate;MB;Lombardia;Via Attilio Confalonieri 38, 20822;+39 0362500386;https://www.hobbyfauna.it/;Alberto e Andrea Cozzani;automatica;email;77;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/5760498139
hobbyfauna22@gmail.com;Hobby Fauna;Toelettature;Limbiate;MB;Lombardia;Via Attilio Confalonieri 38, 20822;+39 0362500386;https://www.hobbyfauna.it/;Alberto e Andrea Cozzani;automatica;email;77;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/5760498139
cesanomaderno@toele.it;Toelé;Toelettature;Limbiate;MB;Lombardia;Via Giuseppe Garibaldi 26, 20811;+39 3520416576;https://www.toele.it/;Toelé;automatica;email;77;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/13395239946
clinicavetlodi@libero.it;Clinica Veterinaria Morelli;Veterinari;Lodi;LO;Lombardia;Piazza Don Luigi Savarè 14;+39 0371412449;https://www.clinicavetlodi.com/;;automatica;email;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/4269569792
info.h24abruzzo@anicura.it;Clinica Veterinaria Tibaldi;Veterinari;Milano;MI;Lombardia;Via Giovanni Pezzotti 2, 20141;+39 0258106826;https://www.anicura.it/;Clinica Veterinaria Tibaldi S.r.l.;automatica;email;97;A+;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/5804044774
info@clinicaveterinariatretorri.it;Clinica Veterinaria Tre Torri;Veterinari;Milano;MI;Lombardia;Via Tiziano 21, 20145;;;ClinicaVeterinaria Tre Torri;automatica;email;56;C;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/6096179373
info@clinicaveterinariaturro.it;Clinica veterinaria Turro;Veterinari;Milano;MI;Lombardia;Via Gerolamo Rovetta 8, 20127;+39 0228040293;http://www.clinicaveterinariaturro.it/;;automatica;email;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/8523890596
info@robertogranata.it;Dottor Roberto Granata;Veterinari;Milano;MI;Lombardia;Via Andrea Maria Ampère 115;+39 022841347;http://robertogranata.it/;;automatica;email;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/8523398333
ambulatoriolucare@gmail.com;Dr. Luca Re;Veterinari;Milano;MI;Lombardia;Via Ambrogio Binda 33, 20143;+39 0297382078;https://www.drlucare-veterinario.com/;;automatica;email;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/8523631934
clinica@enpamilano.org;ENPA;Veterinari;Milano;MI;Lombardia;Via Pietro Gassendi 11, 20155;+39 0297064230;https://www.clinicaenpami.org;;automatica;email;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/9677620610
cvisolaverde@gmail.com;Isola Verde;Veterinari;Milano;MI;Lombardia;Via Marco Aurelio 49;+39 022870429;https://www.clinicaveterinariaisolaverde.com/;;automatica;email;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/5287291229
milanofiera@mypetclinic.it;MyPetClinic;Veterinari;Milano;MI;Lombardia;Viale Daniele Ranzoni 10, 20149;+39 0243983076;https://www.mypetclinic.it/;Dott. Walter Scarabello;automatica;email;82;A;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/8524280094
info@naturaliter.it;Veterinario Dott.ssa Laura Cutullo;Veterinari;Milano;MI;Lombardia;Via Paolo Giovio 28, 20144;+39 0248016079;http://www.naturaliter.it/;;automatica;email;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/9964808986
info@clinicaveterinarianaviglio.it;Clinica Veterinaria del Naviglio;Veterinari;Pioltello;MI;Lombardia;Viale Martesana 59, 20090;;;;automatica;email;50;C;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/8524105368
rifugio@legadelcanemi.it;Lega nazionale per la difesa del cane sezione di Milano;Rifugi per animali;Pioltello;MI;Lombardia;Via Martiri di Cefalonia 18, 20054;+39 022137864;https://legadelcanemi.it/;Lega nazionale per la difesa del cane;automatica;email;72;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/13355202591
studiovet.martignoni@gmail.com;Ambulatorio Veterinario dott.ssa Martignoni;Veterinari;Rho;MI;Lombardia;;+39 029303017;https://www.veterinarimartignoni.it/;Dott.ssa Benedetta Martignoni;automatica;email;82;A;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/13998149923
mondogattosandonato@gmail.com;Mondo Gatto;Rifugi per animali;San Giuliano Milanese;MI;Lombardia;Via Gela, 20097;;https://www.mondogattosandonato.com/;Mondo Gatto;automatica;email;67;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/13197935950
info@baomiaovillage.it;Bao Miao Village;Pensioni per animali;Saronno;VA;Lombardia;Via Vittorio Veneto 5, 20815;+39 0296461205;https://baomiaovillage.it/;Bao Miao Village S.R.L.;automatica;email;80;A;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/way/385257366
clinicalisavet@gmail.com;Clinica veterinaria LISaVet;Veterinari;Saronno;VA;Lombardia;Viale Europa 1375, 21042;+39 029657535;https://www.veterinarioisabellafranco.it/;Dr.ssa Isabella Franco;automatica;email;82;A;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/11483976357
clinicavetdelparco@gmail.com;Clinica veterinaria del parco;Veterinari;Saronno;VA;Lombardia;Via Varese 6, 20020;+39 0296799407;https://www.clinicaveterinariasolaro.it/;;automatica;email;83;A;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/13394002303
ondenere@gmail.com;La casa del cane - la casa dei gatti;Pensioni per animali;Saronno;VA;Lombardia;Via Lainate 1179, 20045;;"https://ondenere.it/pensione-cani/;https://ondenere.it/pensione-gatti/";;automatica;email;69;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/11513968345
sailinruf@sailinruf.com;Le betulle;Allevatori;Saronno;VA;Lombardia;Via Armando Diaz 21, 20815;+39 029660030, +39 029661121;http://www.sailinruf.com/;Società agricola allevamento Le betulle S.R.L.;automatica;email;89;A;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/way/385257355
betulle@sailinruf.com;Le betulle;Allevatori;Saronno;VA;Lombardia;Via Armando Diaz 21, 20815;+39 029660030, +39 029661121;http://www.sailinruf.com/;Società agricola allevamento Le betulle S.R.L.;automatica;email;89;A;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/way/385257355
gammavet5@gmail.com;GammaVet;Veterinari;Seregno;MB;Lombardia;Via Mosè Gerosa 42, 20831;03621441462 (formato da verificare);;;automatica;email;77;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/5224705091
lafenicevet@gmail.com;La Fenice;Veterinari;Varese;VA;Lombardia;Via Cavour 4, 21020;+39 0332890081;https://www.lafenicevetvarese.it/;;automatica;email;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/4099274589
info.varese@zoovetsrl.it;Zoovet;Pet shop;Varese;VA;Lombardia;Viale dell'Ippodromo 57, 21100;;https://www.zoovetsrl.it;Zoovet S.r.l.;automatica;email;80;A;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/12473609834
lucab93235@gmail.com;Nella vecchia fattoria;Allevatori;Vimercate;MB;Lombardia;Via della Fornace 1, 20862;;;;automatica;email;49;D;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/way/193440163
clinicaoltrevet@gmail.com;Oltre Vet - Clinica veterinaria;Veterinari;Voghera;PV;Lombardia;;+39 0383693215;;;automatica;email;54;C;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/13599636864
clinicaveterinariaflaminia@gmail.com;Clinica veterinaria Flaminia;Veterinari;Ancona;AN;Marche;Via Flaminia 315, 60126;+39 3907154762;https://clinicaveterinariaflaminia.it;;automatica;email;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/11335979317
info@veterinarivirgultiegrosso.it;Ambulatorio Veterinario Associato Virgulti-Grosso;Veterinari;Ascoli Piceno;AP;Marche;Largo delle Veroniche 17, 63100;+39 073645999;https://www.veterinarivirgultiegrosso.it/;;automatica;email;83;A;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/12565737951
