email;phone;business_name;category;city;province;region;address;website;contact_name;novita;data;fonte_contatto;provenienza;score;priority;source;source_url
;+39 0119663871;Riccardo Gentile;Veterinari;Pianezza;;Piemonte;Piazza Camillo Benso Conte di Cavour 6, 10044;;;Nuova scheda;2026-09-21;OpenStreetMap (Overpass API, ODbL);automatica;48;D;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/6924270671
;+39 0144441028;Ambulatorio Veterinario Argo;Ambulatori veterinari;Piemonte;;Piemonte;;;Abate e Ratto;Nuova scheda;2026-09-21;OpenStreetMap (Overpass API, ODbL);automatica;43;D;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/11618399572
;+39 0144356716, +39 0144356772;Ambulatorio Veterinario Dr. Piero Biollo;Ambulatori veterinari;Piemonte;;Piemonte;Via Salvo D'Acquisto 32;;;Nuova scheda;2026-09-21;OpenStreetMap (Overpass API, ODbL);automatica;45;D;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/4830808323
;+39 0119680297;Ambulatorio Veterinario Romele Elisa;Ambulatori veterinari;Piemonte;;Piemonte;;;;Nuova scheda;2026-09-21;OpenStreetMap (Overpass API, ODbL);automatica;37;D;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/12198914176
;+39 0113972150;Ambulatorio della Piazza;Ambulatori veterinari;Piemonte;;Piemonte;;;;Nuova scheda;2026-09-21;OpenStreetMap (Overpass API, ODbL);automatica;37;D;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/11420419241
;+39 3923234226;Busca Studio Veterinario;Ambulatori veterinari;Piemonte;;Piemonte;;;;Nuova scheda;2026-09-21;OpenStreetMap (Overpass API, ODbL);automatica;37;D;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/5141206906
comunicazione@clinicamattalia.it;+39 0171792509;Clinica Veterinaria Mattalia;Cliniche veterinarie;Piemonte;;Piemonte;;https://www.clinicaveterinariamattalia.it/;;Nuova scheda;2026-09-21;tag OSM (email/contact:email);automatica;67;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/12406905979
;+39 0171619905;Studio Veterinario Associato Dr. Locatelli e Dr. Turri;Ambulatori veterinari;Piemonte;;Piemonte;Via Matteotti 1;;;Nuova scheda;2026-09-21;OpenStreetMap (Overpass API, ODbL);automatica;45;D;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/5839870387
;+39 0119450468;Ambulatorio Veterinario Dott.ssa Sodero Irma;Ambulatori veterinari;Poirino;;Piemonte;Via Cristoforo Colombo 126, 10046;;;Nuova scheda;2026-09-21;OpenStreetMap (Overpass API, ODbL);automatica;48;D;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/6064685875
;+39 337341144;Ambulatorio Veterinario Biava;Ambulatori veterinari;Rivarolo Canavese;;Piemonte;V. Maurizio Farina, 12, 10086;;;Nuova scheda;2026-09-21;PagineGialle;automatica;48;D;PagineGialle;https://www.paginegialle.it/ambulatorioveterinariobiava
;+39 0119566670;Athena;Veterinari;Rivoli;TO;Piemonte;Corso Torino, 6, 10098;;;Nuova scheda;2026-09-21;PagineGialle;automatica;51;C;PagineGialle;https://www.paginegialle.it/athenapetcare
;+39 016177106, +39 3384588500;Ambulatorio veterinario Fornasino D.sa Alexia;Ambulatori veterinari;Stroppiana;;Piemonte;Via Domenico Carenzo 18, 13010;;;Nuova scheda;2026-09-21;OpenStreetMap (Overpass API, ODbL);automatica;48;D;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/5115259648
;+39 0118195906;Ambulatorio Casale Dr. Remo;Ambulatori veterinari;Torino;TO;Piemonte;Corso Casale, 44, 10131;;;Nuova scheda;2026-09-21;PagineGialle;automatica;48;D;PagineGialle;https://www.paginegialle.it/ambulatoriocasaledrremo-torino
luca.ferrero69@gmail.com;+39 0118121612;Ambulatorio Veterinario - Luca Ferrero;Veterinari;Torino;TO;Piemonte;Via Giuseppe Mazzini 39 bis/B, 10123;https://www.ferrerodottorlucaveterinario.it;;Nuovo contatto;2026-09-21;https://www.ferrerodottorlucaveterinario.it/;automatica;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/4736055191
;+39 0116503040, +39 3381605835;Ambulatorio Veterinario Argentero;Ambulatori veterinari;Torino;TO;Piemonte;Via Giovanni Argentero, 1/F, 10126;;;Nuova scheda;2026-09-21;PagineGialle;automatica;48;D;PagineGialle;https://www.paginegialle.it/ambulatorio-veterinario-argentero-torino
;+39 0118177291, +39 3462271455;Ambulatorio Veterinario Associato Bo - Ferro;Ambulatori veterinari;Torino;TO;Piemonte;Via Fratelli Calandra, 3, 10123;;;Nuova scheda;2026-09-21;PagineGialle;automatica;48;D;PagineGialle;https://www.paginegialle.it/veterinariboferronardi
;+39 0112261967;Ambulatorio Veterinario Bertone e Oropallo;Ambulatori veterinari;Torino;TO;Piemonte;Via Michele Berrino, 6/M, 10148;;;Nuova scheda;2026-09-21;PagineGialle;automatica;48;D;PagineGialle;https://www.paginegialle.it/ambulatorioveterinariotorino
;+39 0112205622;Ambulatorio Veterinario Cavallero Dr. Annamaria;Ambulatori veterinari;Torino;TO;Piemonte;Corso Grosseto, 143, 10147;;;Nuova scheda;2026-09-21;PagineGialle;automatica;48;D;PagineGialle;https://www.paginegialle.it/ambulatorioveterinariocavallerodrannamaria-torino
;+39 011503028, +39 3888503232;Ambulatorio Veterinario Dott.ssa Cutolo Valeria;Ambulatori veterinari;Torino;TO;Piemonte;Via Giovanni da Verazzano, 20, 10129;;;Nuova scheda;2026-09-21;PagineGialle;automatica;48;D;PagineGialle;https://www.paginegialle.it/torino-to/veterinaria/ambulatorio-veterinario-cutolo-dott.ssa-valeria
;+39 0116635067;Ambulatorio Veterinario Dott.ssa Stefania Bertolotto e Sarah Ottolenghi;Ambulatori veterinari;Torino;TO;Piemonte;Via Saluzzo, 126, 10126;;;Nuova scheda;2026-09-21;PagineGialle;automatica;48;D;PagineGialle;https://www.paginegialle.it/torino-to/veterinaria/bertolotto-stefania
;+39 0113182028, +39 3396992150;Ambulatorio Veterinario Dr. F. Adinolfi;Ambulatori veterinari;Torino;TO;Piemonte;Largo Orbassano, 70, 10129;;;Nuova scheda;2026-09-21;PagineGialle;automatica;48;D;PagineGialle;https://www.paginegialle.it/torino-to/veterinaria/adinolfi-franco_2
;+39 011541460;Ambulatorio Veterinario Girardi;Ambulatori veterinari;Torino;TO;Piemonte;Via Massena, 24, 10128;;;Nuova scheda;2026-09-21;PagineGialle;automatica;48;D;PagineGialle;https://www.paginegialle.it/ambulatorioveterinariogirardi
;+39 3355946580;Ambulatorio Veterinario Martini;Ambulatori veterinari;Torino;TO;Piemonte;Via Luigi Ferdinando Marsigli, 113/C, 10141;;;Nuova scheda;2026-09-21;PagineGialle;automatica;48;D;PagineGialle;https://www.paginegialle.it/ambulatorioveterinariomartini-torino
karlogiulianelli@gmail.com;+39 011728346, +39 3477943396;Ambulatorio Veterinario Scapacino del Dott. Carlo Giulianelli;Ambulatori veterinari;Torino;TO;Piemonte;Via Scapacino Giovanni Battista, 29/D, 10146;https://www.carlogiulianellimedicoveterinario.it/;;Nuova scheda;2026-09-21;https://www.carlogiulianellimedicoveterinario.it/;automatica;80;A;PagineGialle;https://www.paginegialle.it/torino-to/veterinaria/giulianelli-carlo
;+39 3401407656;Ambulatorio Veterinario Varina A. - Ghidella N.;Ambulatori veterinari;Torino;TO;Piemonte;Corso Francesco Ferrucci, 76, 10138;;;Nuova scheda;2026-09-21;PagineGialle;automatica;48;D;PagineGialle;https://www.paginegialle.it/ambulatorioveterinariovarinaa-ghidellan-torino
;+39 0112487396;Associazione Animalcity;Veterinari;Torino;TO;Piemonte;Via Ancona, 22, 10152;;;Nuova scheda;2026-09-21;PagineGialle;automatica;55;C;PagineGialle;https://www.paginegialle.it/torino-to/veterinaria/animalcity-s-r-l_20166536
info@cvttorino.it;+39 0112482116;Centro Veterinario Torinese;Veterinari;Torino;TO;Piemonte;Lungo Dora Colletta Pietro, 147, 10153;http://www.cvttorino.it/;;Nuova scheda;2026-09-21;http://www.cvttorino.it/;automatica;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/14143971807
clinicaveterinariaborgopo@gmail.com;+39 0116610683, +39 3391266287;Clinica Veterinaria Borgo Po;Cliniche veterinarie;Torino;TO;Piemonte;Corso Moncalieri, 389, 10133;https://clinicaveterinariaborgopo.it/;;Nuova scheda;2026-09-21;http://clinicaveterinariaborgopo.it/contatti/;automatica;78;B;PagineGialle;https://www.paginegialle.it/torino-to/ambulatorio-veterinario-associato-dottori-piera-fe_2
;+39 3890216034;Clinica Veterinaria Città di Torino;Cliniche veterinarie;Torino;TO;Piemonte;Corso Traiano, 99/D, 10135;;;Nuova scheda;2026-09-21;PagineGialle;automatica;50;C;PagineGialle;https://www.paginegialle.it/clinicaveterinariacittditorino-torino
info@clinicapastrone.com;+39 011200126, +39 3355269444;Clinica Veterinaria Pastrone;Veterinari;Torino;TO;Piemonte;Corso Vercelli 246, 10155;https://www.clinicapastrone.com/;;Nuovo contatto;2026-09-21;https://www.clinicapastrone.com/;automatica;76;B;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/2553582900
;+39 0114346544, +39 3346158695;Costa Francesca;Veterinari;Torino;TO;Piemonte;Via Susa, 14/L, 10138;;;Nuova scheda;2026-09-21;PagineGialle;automatica;48;D;PagineGialle;https://www.paginegialle.it/torino-to/costa-francesca
;+39 3331211197, +39 3495808574;Dott. Francesco Davide Abatantuono;Veterinari;Torino;TO;Piemonte;Via Domodossola, 85/D, 10145;;;Nuovo contatto;2026-09-21;OpenStreetMap (Overpass API, ODbL);automatica;48;D;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/13273646894
;+39 011320488;Pierbattisti Cesare;Veterinari;Torino;TO;Piemonte;Corso Orbassano, 224/20, 10137;;;Nuova scheda;2026-09-21;PagineGialle;automatica;48;D;PagineGialle;https://www.paginegialle.it/torino-to/veterinaria/pierbattisti-cesare
;+39 3285683059;Studio Veterinario Associato D.ssa Lattanzio M. e D.ssa Todesco S.;Ambulatori veterinari;Torino;TO;Piemonte;Strada delle Vallette, 90, 10151;;;Nuova scheda;2026-09-21;PagineGialle;automatica;48;D;PagineGialle;https://www.paginegialle.it/studioveterinarioassociatodssalattanzioedssatedescos-torino
;+39 0112263081;Vercelli Claudio;Veterinari;Torino;TO;Piemonte;Largo Toscana, 21, 10149;;;Nuova scheda;2026-09-21;PagineGialle;automatica;48;D;PagineGialle;https://www.paginegialle.it/torino-to/veterinaria/vercelli-claudio_2
