business_name;category;subcategory;city;province;region;address;website;email;phone;instagram_username;instagram_url;facebook_url;contact_name;source;source_url;provenienza;data_quality;score;priority;notes;osm_id;found_at
Polivet - Policlinico Veterinario Roma Nord;Ospedali veterinari;"Ospedale H24/365: pronto soccorso, chirurgia, terapia, animali esotici; ambulanza veterinaria; consulenza online";Roma;RM;Lazio;"Ospedale: Via Salaria, 1317 - 00138; Ambulatorio: Via Prenestina, 364d - 00171";https://www.polivet.it/;;+39 0690214900;;;;Dr. Simone Rota (direttore sanitario);Sito ufficiale;https://www.polivet.it/;manuale;77;82;A;Due sedi (Salaria + Prenestina). Sito aggiornato (2026): struttura di vertice, ideale per partnership cliniche.;;
Associazione Rifugio a Quattro Zampe;Rifugi per animali;"Rifugio per cani e gatti; adozioni";Altamura;BA;Puglia;Zona Monteverde - 70022 (indirizzo FB grezzo: 'Sce 32 Monteverde');https://linktr.ee/rifugioaquattrozampe;rifugioaquattrozampe@gmail.com;+39 3929286955;;;https://www.facebook.com/p/Associazione-rifugioaquattrozampe-100069996459854/;;Facebook;https://www.facebook.com/p/Associazione-rifugioaquattrozampe-100069996459854/;manuale;85;82;A;Pagina Facebook molto attiva (ca. 9.900 like, post recenti): ottima base per partnership sulle adozioni.;;
Aristogatti - Gattile di Empoli;Rifugi per animali;"Gattile e associazione di volontariato; gestione colonie feline dal 1996";Empoli;FI;Toscana;Via Ettore Majorana - 50053;https://www.aristogattiempoli.org/;info@aristogatti.org;+39 3383244769;;;https://www.facebook.com/aristogatti.org;;SeguiLeOrme / Facebook;https://www.seguileorme.it/servizi-per-animali/aristogatti/;manuale;85;82;A;Facebook con oltre 16.000 like e orari di apertura pubblici: associazione molto digitale, ottima per partnership su adozioni.;;
Ambulatorio veterinario Gerlanz Furio;Veterinari;;Trieste;TS;Friuli-Venezia Giulia;Campo Pietro Metastasio 3a, 34148;https://www.gherlanzveterinario.com/;furiogherlanz@hotmail.it;+39 040810834;;;;Gherlanz dott. Furio Medico Veterinario;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/9254287813;automatica;77;82;A;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;9254287813;2026-09-01T20:22:27Z
Ambulatorio veterinario Murray;Veterinari;;Trieste;TS;Friuli-Venezia Giulia;Campo Pietro Metastasio 3a, 34148;https://veterinariomurray.it/;info@veterinariomurray.it;+39 040813164;;;;Dottoressa medico Veterinario Cristina M. Murray;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/9254287816;automatica;77;82;A;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;9254287816;2026-09-01T20:22:27Z
Ambulatorio veterinario Spiezia;Veterinari;;Roma;RM;Lazio;Via Portuense 803, 00148;https://www.veterinarioportuense.it/;spieziavet@gmail.com;+39 066591366;;;;Iolanda Lucia Spezia;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/11748892121;automatica;77;82;A;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;11748892121;2026-09-01T11:48:47Z
MyPetClinic;Veterinari;;Milano;MI;Lombardia;Viale Daniele Ranzoni 10, 20149;https://www.mypetclinic.it/;milanofiera@mypetclinic.it;+39 0243983076;;;;Dott. Walter Scarabello;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/8524280094;automatica;77;82;A;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;8524280094;2026-09-01T12:46:01Z
Animalife - Pensione per animali;Pensioni per animali;Pensione per cani e gatti immersa nel verde del Roero;Vezza d'Alba;CN;Piemonte;Viale Artigianale - 12040;http://www.animalife.it/pensione.html;info@animalife.it;+39 3355443183, +39 3388370929;;;;;Sito ufficiale;http://www.animalife.it/pensione.html;manuale;77;81;A;Sito datato (2009) ma recapiti pubblici completi.;;
Love Pet Toelettatura e Spa;Toelettature;"Toelettatura e SPA per cani e gatti; ozonoterapia; preparazione show";Vezza d'Alba;CN;Piemonte;Via Torino, 33 - 12040;https://www.lovepettoelettatura.it/;info@lovepettoelettatura.it;+39 3470430712;;;;Simona Murano;Sito ufficiale;https://www.lovepettoelettatura.it/;manuale;85;80;A;Sito completo con modulo di contatto: alta digitalizzazione.;;
L'Oasi di Rex;Toelettature;"Toelettatura cani + pet store alimenti; self-service";Altamura;BA;Puglia;Via Isernia, 10 - 70022;https://loasidirex.it/;vitosabrina.vs@gmail.com;+39 3280274685;;;;Sabrina Vito;Sito ufficiale;https://loasidirex.it/;manuale;85;80;A;Il nome della referente deriva dall'email pubblica del sito (vitosabrina.vs).;;
Agripet Acireale (Agripet S.r.l.);Pet shop;Pet shop + toelettatura professionale + asilo diurno + area sgambamento gratuita;Acireale;CT;Sicilia;Via Saru Spina, 4 - 95024;https://www.agripetsrl.it;;+39 0952886675;;;;Fabio Licandro;ZampaConnect / Nextdoor / PagineGialle;https://www.zampaconnect.com/toelettatori/agripet-acireale-acireale-ct;manuale;77;78;B;Rating Google 4,6 su 634 recensioni: presenza locale fortissima.;;
VIRÒ Grooming (Virò Dog Grooming);Toelettature;Toelettatura professionale cani;Altamura;BA;Puglia;Via Carpentino, 158 - 70022;https://www.virodog.it/;virodoggrooming@gmail.com;+39 3287777017;;;;;Sito ufficiale;https://www.virodog.it/;manuale;77;78;B;Sito moderno con prenotazione online: alto potenziale di digitalizzazione.;;
NBA - Negozio di Animali Tivoli / Aquarium2000;Negozi per animali;"Prodotti per cani, gatti, roditori, uccelli, rettili e pesci; acquariologia";Tivoli;RM;Lazio;Viale Tomei, 91 - 00019;;monika-85@hotmail.it;+39 0774688913;;;https://www.facebook.com/p/Negozio-Di-Animali-Tivoli-Aquarium2000-100057279655066/;Monika (per email pubblica);Facebook;https://www.facebook.com/p/Negozio-Di-Animali-Tivoli-Aquarium2000-100057279655066/;manuale;85;76;B;Pagina FB attiva (ca. 1.200 like, aggiornamenti recenti).;;
Petville - Albergo per cani e gatti;Pet hotel;"Pensione per cani e gatti in campagna; attualmente operativa solo l'area gatti";Imola;BO;Emilia-Romagna;;https://petville.it/;alessandromarrani@hotmail.com;+39 054295389, +39 3334733438;;;;Alessandro Marrani;Sito ufficiale (pagina contatti verificata);https://petville.it/contatti/;manuale;77;76;B;"Prefisso 0542 e tagline 'provincia di Bologna' indicano zona Imola; indirizzo esatto non pubblicato in home. Il sito segnala: sezione cani momentaneamente chiusa, area gatti pienamente funzionante. | Nota sede: zona";;
Qua la Zampa - Grooming Salon Cuneo;Toelettature;"Toelettatura cani e gatti; prenotazione online";Cuneo;CN;Piemonte;Cuneo (via non visibile nello snippet) - 12100;https://lamarisaerwen78.wixsite.com/qua-la-zampa;;+39 3494962309;;;;Marianna;ToelettaturaPro;https://toelettaturapro.com/pro/toelettatura/qua-la-zampa-grooming-salon-cuneo-cuneo;manuale;77;76;B;Estende copertura al capoluogo Cuneo.;;
Ambulatorio Veterinario Guidotti;Veterinari;;Bologna;BO;Emilia-Romagna;Via Alessandro Guidotti 40a, 40134;https://www.facebook.com/Ambulatorio-Veterinario-Guidotti-101227044772600;ambvetguidotti@gmail.com;+39 3491007581;;;;;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/4793750758;automatica;69;76;B;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;4793750758;2026-09-01T12:53:31Z
Centro Veterinario Cecchignola;Veterinari;;Roma;RM;Lazio;Via Abigaille Zanetta 26, 00143;https://centroveterinariocecchignola.com/;centroveterinariocecchignola@gmail.com;+39 0651958587;;;;;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/12953675888;automatica;69;76;B;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;12953675888;2026-09-01T11:48:47Z
Ambulatorio Veterinario Associato Pineto;Veterinari;;Roma;RM;Lazio;Via Vittorio Montiglio 25,27;https://www.ambulatorioveterinariopineto.it/;info@ambulatorioveterinariopineto.it;+39 0689235429;;;;;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/8833503090;automatica;69;76;B;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;8833503090;2026-09-01T11:48:47Z
Dott. Amerio Croce;Veterinari;;Roma;RM;Lazio;Via Alghero 9, 00182;https://www.veterinariaroma.it/;info@veterinariaroma.it;+39 0670301455, +39 3289386010;;;;;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/1544664323;automatica;69;76;B;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;1544664323;2026-09-01T11:48:47Z
Asta Onlus;Veterinari;;Roma;RM;Lazio;Via Sante Bargellini 18, 00156;https://www.associazioneasta.com/;asta@associazioneasta.com;+39 064506162;;;;;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/7711341085;automatica;69;76;B;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;7711341085;2026-09-01T11:48:47Z
CVRS Policlinico Veterinario Roma Sud;Veterinari;;Roma;RM;Lazio;Via Pilade Mazza 24, 00173;https://www.cvrs.it/;info@cvrs.it;+39 067236171;;;;;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/7625648493;automatica;69;76;B;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;7625648493;2026-09-01T11:48:47Z
Clinica veterinaria Albaro;Veterinari;;Genova;GE;Liguria;Via Montallegro 26 rosso;https://www.clinicavetalbaro.it;info@clinicavetalbaro.it;+39 0103620532;;;;;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/4682022248;automatica;69;76;B;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;4682022248;2026-09-01T12:50:49Z
Dr. Luca Re;Veterinari;;Milano;MI;Lombardia;Via Ambrogio Binda 33, 20143;https://www.drlucare-veterinario.com/;ambulatoriolucare@gmail.com;+39 0297382078;;;;;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/8523631934;automatica;69;76;B;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;8523631934;2026-09-01T12:46:01Z
Veterinario Dott.ssa Laura Cutullo;Veterinari;;Milano;MI;Lombardia;Via Paolo Giovio 28, 20144;http://www.naturaliter.it/;info@naturaliter.it;+39 0248016079;;;;;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/9964808986;automatica;69;76;B;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;9964808986;2026-09-01T12:46:01Z
ENPA;Veterinari;;Milano;MI;Lombardia;Via Pietro Gassendi 11, 20155;https://www.clinicaenpami.org;clinica@enpamilano.org;+39 0297064230;;;;;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/9677620610;automatica;69;76;B;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;9677620610;2026-09-01T12:46:01Z
Dottor Roberto Granata;Veterinari;;Milano;MI;Lombardia;Via Andrea Maria Ampère 115;http://robertogranata.it/;info@robertogranata.it;+39 022841347;;;;;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/8523398333;automatica;69;76;B;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;8523398333;2026-09-01T12:46:01Z
Isola Verde;Veterinari;;Milano;MI;Lombardia;Via Marco Aurelio 49;https://www.clinicaveterinariaisolaverde.com/;cvisolaverde@gmail.com;+39 022870429;;;;;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/5287291229;automatica;69;76;B;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;5287291229;2026-09-01T12:46:01Z
Clinica veterinaria Turro;Veterinari;;Milano;MI;Lombardia;Via Gerolamo Rovetta 8, 20127;http://www.clinicaveterinariaturro.it/;info@clinicaveterinariaturro.it;+39 0228040293;;;;;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/8523890596;automatica;69;76;B;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;8523890596;2026-09-01T12:46:01Z
Clinica Veterinaria San Paolo;Veterinari;;Torino;TO;Piemonte;Via Issiglio 111 int. 4, 10141;https://www.ambulatorioveterinario-torino.it/;info@clinicasanpaolo.it;+39 0113722558;;;;;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/4734597325;automatica;69;76;B;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;4734597325;2026-09-01T12:48:34Z
Ospedale Veterinario Pingry;Veterinari;;Bari;BA;Puglia;Via delle Medaglie d'Oro 5;https://www.pingry.it/;pingry@tin.it;+39 0805533884;;;;;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/5451410324;automatica;69;76;B;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;5451410324;2026-09-01T15:54:00Z
Clinica Veterinaria Arkè;Veterinari;;Palermo;PA;Sicilia;Via Giuseppe Pollaci 8,10, 90135;https://www.arkevet.net/chisiamo.html;info@arkevet.net;+39 0912539870;;;;;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/5100685898;automatica;69;76;B;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;5100685898;2026-09-01T12:49:43Z
Ospedale veterinario Ardenza;Veterinari;;Livorno;LI;Toscana;Via Uberto Mondolfi 169;https://www.ospedaleveterinarioardenza.com/;info@ospedaleveterinarioardenza.com;+39 0586504403;;;;;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/5412245021;automatica;69;76;B;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;5412245021;2026-09-02T02:16:57Z
Ambulatorio Veterinario Associato Sant'Antonio (Dr. Felce e Mundula);Ambulatori veterinari;Ambulatorio con pronto soccorso, day hospital, terapia intensiva, degenza pre/post operatoria;Quartu Sant'Elena;CA;Sardegna;Via Olanda, 22 - 09045;;ambvetassociatosantantonio@gmail.com;+39 0704513334, +39 3313107470, +39 3337341680;;;;"Dr. Gianfranco Alfonsi; Dott.ssa Tasha Felce; Dr. Gianluigi Mundula";PagineGialle / Virgilio / Opendi;https://www.paginegialle.it/ambulatorioveterinarioquartusantelena;manuale;77;75;B;"Tre directory concordano; recensione positiva recente citata su Virgilio (5 giorni prima della ricerca).";;
Ambulatorio Veterinario Ricciotti;Veterinari;;Roma;RM;Lazio;;https://www.ambulatorioveterinarioricciotti.it/;ambvet.ricciotti@gmail.com;+39 063214242;;;https://www.facebook.com/ricciottivet/;;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/610303277;automatica;69;75;B;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;610303277;2026-09-01T11:48:47Z
Ambulatorio Veterinario Dr.ssa Elisabetta Innocenti;Ambulatori veterinari;Animali esotici: tartarughe e rettili;Empoli;FI;Toscana;Viale Giovanni Boccaccio, 161/C - 50053;;ambvetie@virgilio.it;+39 057182563;;;;Dr.ssa Elisabetta Innocenti;Tartapedia;https://tartapedia.it/veterinari-della-provincia-di-firenze-per-tartarughe-e-rettili/;manuale;77;74;B;Fonte specializzata (aggiornata 2024).;;
Clean Dog Tivoli;Toelettature;Lavaggio self-service cani e gatti con macchinario dedicato;Tivoli;RM;Lazio;Via Due Giugno, 7/D - 00019;https://www.cleandogtivoli.com/;cleandog.tivoli@outlook.com;+39 3339485988;;;;;Sito ufficiale;https://www.cleandogtivoli.com/en/about;manuale;77;74;B;Sito multilingua: approccio moderno.;;
Allevamento delle Mura Antiche;Allevamenti professionali;"Selezione San Bernardo e Rottweiler (ENCI/FCI); anche pensione e dog sitting";Altamura;BA;Puglia;Via Pietro Colletta snc - 70022;http://www.allevamentirazze.it/sito/allevamento-delle-antiche-mura;vincenza35@hotmail.it;+39 3921116423;;;;;Cani.com;https://www.cani.com/attivita/allevamento-mura-antiche;manuale;77;73;B;Presente sia come allevamento sia come pensione su Cani.com.;;
A.M.A. Faenza - Associazione Musetti Abbandonati;Rifugi per animali;Oasi felina, gattile, adozioni gatti;Faenza;RA;Emilia-Romagna;Corso Mazzini, 52/5 - 48018;https://www.amafaenza.it/;amafaenza@gmail.com;+39 3534516211;;;;;Sito ufficiale;https://www.amafaenza.it/;manuale;77;72;B;Sito attivo con catalogo adozioni (pagina aggiornata 2026).;;
Ambulatorio Veterinario Zama;Ambulatori veterinari;Cani, gatti e animali esotici (roditori, pappagalli, rettili, furetti);Faenza;RA;Emilia-Romagna;Via Boito, 18 - 48018;;zenrico@yahoo.it;+39 0546661197;;;;Dr. Giuliano Zama (direttore sanitario);TuoVet;https://www.tuovet.it/scheda/ambulatorio-veterinario-zama/;manuale;77;71;B;Email come pubblicata nella scheda TuoVet.;;
Petzone;Pet shop;;Napoli;NA;Campania;Via Rocco Marco di Torrepadula 175, 80145;https://www.petzon.it/;info@petzon.it;+39 0817406535;;;;;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/11150529348;automatica;69;71;B;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;11150529348;2026-09-01T12:48:28Z
Beauty Pets;Toelettature;;Salerno;SA;Campania;Via Michelangelo Schipa 15, 84125;https://www.beautypets.it;info@beautypets.it;+39 0892966027;;;;;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/7389616337;automatica;69;71;B;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;7389616337;2026-09-02T10:20:33Z
Dott.ssa Virginia Poggi - Veterinario a domicilio;Veterinari;"Veterinario a domicilio: visite, prelievi, terapie, vaccinazioni, certificati; area Tivoli-Roma";Tivoli;RM;Lazio;Tivoli (servizio a domicilio: Roma, Guidonia, Castel Madama, Mentana, Vicovaro, Gallicano, Zagarolo, Palestrina, San Cesareo, Palombara Sabina, Marcellina);;dott.ssa.poggi@gmail.com;+39 3289083058;;;;Dott.ssa Virginia Poggi;VeterinarioVicinoAMe;https://veterinariovicinoame.it/ambulatorio/veterinario-a-domicilio-tivoli-poggi/;manuale;77;71;B;Servizio a domicilio molto recensito: ottimo modello per partnership su follow-up cure.;;
Centro Veterinario Animali Esotici;Veterinari;;Palermo;PA;Sicilia;Viale Regione Siciliana Sud Est 422, 90129;https://www.veterinarioesoticipalermo.it/;centrovetanimaliesotici@gmail.com;;;;https://www.facebook.com/CentroVeterinarioPerAnimaliEsotici;;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/5412716530;automatica;69;71;B;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;5412716530;2026-09-01T12:49:43Z
VetClinic Tivoli - Ambulatorio Veterinario Dott. Pacelli;Cliniche veterinarie;"Cani, gatti, furetti, conigli, piccoli roditori; emergenza 24/7";Tivoli;RM;Lazio;Via Tiburto, 94 - 00019;https://ambulatorio-veterinario.webnode.page/;;+39 0774311279;;;;Dott. Fabrizio Pacelli (direttore sanitario);Sito ufficiale;https://ambulatorio-veterinario.webnode.page/;manuale;77;70;B;Dichiara reperibilità 24/7: da verificare modalità.;;
LavaSnoopy - Toelettatura Cani e Gatti;Toelettature;"Toelettatura cani e gatti; centro di oltre 300 mq";Faenza;RA;Emilia-Romagna;Via Antonio Cittadini, 3 - 48018;https://www.toelettaturalavasnoopy.com/;;+39 3668034200;;;;Laura Ciani;Sito ufficiale;https://www.toelettaturalavasnoopy.com/;manuale;77;70;B;La directory GLOBElife associa a 'Snoopy di Laura Ciani' lo stesso indirizzo (Via Cittadini 3/A).;;
ENPA Faenza - Ente Nazionale Protezione Animali;Associazioni animaliste;Protezione animali, sterilizzazioni, sensibilizzazione scolastica, adozioni;Faenza;RA;Emilia-Romagna;Via Laderchi, 3 - 48018;http://www.rifugiodelcanefaenza.org;faenza@enpa.org;+39 0546661203;;;;;Rete civica R@cine (Provincia di Ravenna);https://www.racine.ra.it/Risorse/ODV-Organizzazioni-di-Volontariato/Tutela-e-promozione-dei-diritti/E.N.P.A.-Ente-Nazionale-Protezione-Animali-Faenza;manuale;77;69;B;Fonte istituzionale (rete civica provinciale): dati molto affidabili. ⧉ Struttura gestita da ENPA Faenza (stessa organizzazione, scheda separata per categoria canile).;;
Lega Nazionale per la Difesa del Cane - Sezione di Altamura (LNDC Altamura);Associazioni animaliste;Adozioni, sterilizzazioni, tutela randagi;Altamura;BA;Puglia;"Sede legale: Viale Regina Margherita, 96/b - 70022; sede operativa: Contrada La Macchia";https://www.legadelcanealtamura.com/;lndc.altamura@gmail.com;+39 3398553058, +39 3349993833;;;;;Sito ufficiale;https://www.legadelcanealtamura.com/;manuale;77;69;B;Sito proprio con catalogo adozioni: buon livello di digitalizzazione per un'associazione.;;
L'Oasi - Pensione e rifugio per cani e gatti;Pensioni per animali;"Pensione a 360° con personale educatore/veterinario; ospita anche animali in adozione; courtesy kit per hotel";;;;;https://canileoasi.it/;info@canileoasi.it;+39 3899362371;;;;;IlMioCane.org;https://www.ilmiocane.org/attivita;manuale;46;69;B;"Sede da identificare; modello con convenzioni per degenze e adozioni molto compatibile con PetNote. | Instagram: Instagram presente (handle da ricavare dal sito)";;
Studio associato Razzauti Daolio Anguillesi;Veterinari;;Livorno;LI;Toscana;Via del Lavoro 11, 57122;https://www.studioveterinariolivorno.it/;;+39 0586951478;;;https://www.facebook.com/razzautidaolioanguillesi;;OpenStreetMap (Overpass API, ODbL);https://www.openstreetmap.org/node/10137760180;automatica;69;69;B;Fonte OpenStreetMap (ODbL). Dati di contatto come mappati in OSM: verificare prima di un eventuale contatto.;10137760180;2026-09-02T02:16:57Z
